quantity,unit,unit_price,total_price,man_country,supplier,year,category
6,cans,6.75,40.5,India,Indo Count Industries Ltd,2014,Soda
2,cans,6.75,13.5,India,Indo Count Industries Ltd,2014,Soda
9,cans,6.75,60.75,India,Indo Count Industries Ltd,2014,Soda
6,bottles,14.0,84.0,Finland,HARDFORD AB,2014,Juice
10,ct,21.0,210.0,Bangladesh,DENIMACH LTD,2014,Kitchen Supplies
8,bottles,14.0,112.0,Finland,HARDFORD AB,2014,Juice
1,ct,21.0,21.0,Bangladesh,DENIMACH LTD,2014,Kitchen Supplies
5,bags,17.0,85.0,India,Indo Count Industries Ltd,2014,Chips
4,bottles,14.0,56.0,Finland,HARDFORD AB,2014,Juice
2,cans,6.75,13.5,India,Indo Count Industries Ltd,2014,Soda
7,ct,15.0,105.0,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,2014,Kitchen Supplies
6,bags,17.0,102.0,India,Indo Count Industries Ltd,2014,Chips
4,ct,15.0,60.0,Lithuania,BIGSO AB,2014,Juice
7,cans,55.0,385.0,United States,MAESA SAS,2014,Energy/Protein
1,cans,55.0,55.0,United States,MAESA SAS,2014,Energy/Protein
9,oz,13.0,117.0,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,2014,Kitchen Supplies
4,ct,15.0,60.0,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,2014,Kitchen Supplies
9,cans,55.0,495.0,United States,MAESA SAS,2014,Energy/Protein
1,bottles,14.0,14.0,Finland,HARDFORD AB,2014,Juice
3,ct,18.0,54.0,Lithuania,BIGSO AB,2014,Healthy
3,bottles,14.0,42.0,Finland,HARDFORD AB,2014,Juice
6,ct,21.0,126.0,Bangladesh,DENIMACH LTD,2014,Kitchen Supplies
11,cans,55.0,605.0,United States,MAESA SAS,2014,Energy/Protein
7,cans,6.75,47.25,India,Indo Count Industries Ltd,2014,Soda
6,cans,6.75,40.5,India,Indo Count Industries Ltd,2014,Soda
10,oz,13.0,130.0,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,2014,Kitchen Supplies
11,bags,17.0,187.0,India,Indo Count Industries Ltd,2014,Chips
10,ct,18.0,180.0,Lithuania,BIGSO AB,2014,Healthy
7,cans,55.0,385.0,United States,MAESA SAS,2014,Energy/Protein
2,cans,6.75,13.5,India,Indo Count Industries Ltd,2014,Soda
11,ct,18.0,198.0,Lithuania,BIGSO AB,2014,Healthy
8,ct,15.0,120.0,Lithuania,BIGSO AB,2014,Juice
7,oz,13.0,91.0,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,2014,Kitchen Supplies
8,oz,13.0,104.0,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,2014,Kitchen Supplies
7,ct,18.0,126.0,Lithuania,BIGSO AB,2014,Healthy
5,oz,13.0,65.0,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,2014,Kitchen Supplies
8,cans,6.75,54.0,India,Indo Count Industries Ltd,2014,Soda
6,ct,15.0,90.0,Lithuania,BIGSO AB,2014,Juice
4,ct,15.0,60.0,Lithuania,BIGSO AB,2014,Juice
9,ct,15.0,135.0,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,2014,Kitchen Supplies
8,bottles,14.0,112.0,Finland,HARDFORD AB,2014,Juice
5,cans,55.0,275.0,United States,MAESA SAS,2014,Energy/Protein
2,oz,13.0,26.0,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,2014,Kitchen Supplies
9,ct,15.0,135.0,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,2014,Kitchen Supplies
11,ct,21.0,231.0,Bangladesh,DENIMACH LTD,2014,Kitchen Supplies
9,ct,18.0,162.0,Lithuania,BIGSO AB,2014,Healthy
5,ct,15.0,75.0,Lithuania,BIGSO AB,2014,Juice
4,ct,18.0,72.0,Lithuania,BIGSO AB,2014,Healthy
9,cans,55.0,495.0,United States,MAESA SAS,2014,Energy/Protein
2,bags,17.0,34.0,India,Indo Count Industries Ltd,2014,Chips
9,bottles,14.0,126.0,Finland,HARDFORD AB,2014,Juice
6,ct,15.0,90.0,Lithuania,BIGSO AB,2014,Juice
1,ct,21.0,21.0,Bangladesh,DENIMACH LTD,2014,Kitchen Supplies
8,oz,13.0,104.0,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,2014,Kitchen Supplies
6,ct,15.0,90.0,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,2014,Kitchen Supplies
1,ct,21.0,21.0,Bangladesh,DENIMACH LTD,2014,Kitchen Supplies
7,pk,15.0,105.0,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,2014,Sweets
7,bags,17.0,119.0,India,Indo Count Industries Ltd,2014,Chips
10,ct,21.0,210.0,Bangladesh,DENIMACH LTD,2014,Kitchen Supplies
9,ct,15.0,135.0,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,2014,Kitchen Supplies
10,bags,17.0,170.0,India,Indo Count Industries Ltd,2014,Chips
2,pk,15.0,30.0,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,2014,Sweets
10,ct,21.0,210.0,Bangladesh,DENIMACH LTD,2014,Kitchen Supplies
2,pk,15.0,30.0,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,2014,Sweets
2,ct,21.0,42.0,Bangladesh,DENIMACH LTD,2014,Kitchen Supplies
11,cans,6.75,74.25,India,Indo Count Industries Ltd,2014,Soda
11,pk,15.0,165.0,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,2014,Sweets
6,cans,55.0,330.0,United States,MAESA SAS,2014,Energy/Protein
5,ct,21.0,105.0,Bangladesh,DENIMACH LTD,2014,Kitchen Supplies
6,ct,21.0,126.0,Bangladesh,DENIMACH LTD,2014,Kitchen Supplies
6,cans,55.0,330.0,United States,MAESA SAS,2014,Energy/Protein
7,oz,13.0,91.0,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,2014,Kitchen Supplies
